review_comment_message,review_score,product_category_name_english,late_delivery_flag
"O correio ainda não fez a entrega , to furioso.",1.0,toys,1
Não veio a cor que solicitei marquei azul e veio vermelho estou insatisfeito com o vendedor gostaria de saber qual será a solução que vcs vão me dar,1.0,baby,1
O prazo de entrega finalizou e nao recebi o produto,1.0,bed_bath_table,1
Não recomendo pois não entregaram o meu pedido já estou pagando a segunda fatura do meu cartão e não recebir o meu produto estou tratando com meu advogado é uma furada não recomendo,1.0,garden_tools,0
Não recomendo pois não entregaram o meu pedido já estou pagando a segunda fatura do meu cartão e não recebir o meu produto estou tratando com meu advogado é uma furada não recomendo,1.0,garden_tools,0
Ainda estou esperando a entrega! ,1.0,sports_leisure,0
não foi como eu esperava quero devolver o produto,2.0,watches_gifts,0
"Não estou satisfeito com o atendimento da targaryen,
Não recebi a mia encomenda, É está marcado como entregue. 
",1.0,computers_accessories,0
Não cumpriu o prazo de entrega.,1.0,sports_leisure,1
"Ainda não foi entregue o pedido e já passou do prazo da entrega. O status do pedido não era atualizado diariamente. Foi atualizado hoje que estava vindo para minha cidade, espero a entrega.",1.0,watches_gifts,1
Produto veio com defeito,1.0,perfumery,0
Não é possível avaliar o produto pois o produto foi roubado nos correios e até o presente momento eu não recebi a reposição.,1.0,computers_accessories,1
Não é possível avaliar o produto pois o produto foi roubado nos correios e até o presente momento eu não recebi a reposição.,1.0,computers_accessories,1
"nao recebi Cesta decorativa com trio de bolas
qto aos ESPELHOS DECORATIVOS,O PRODUTO NAO É ESPELHO E SIM UM PRODUTO PLASTIFICADO,PROPAGANDA ENGANOSA,QUERIA MEU DINHEIRO DE VOLTA!	 ",1.0,furniture_decor,0
"nao recebi Cesta decorativa com trio de bolas
qto aos ESPELHOS DECORATIVOS,O PRODUTO NAO É ESPELHO E SIM UM PRODUTO PLASTIFICADO,PROPAGANDA ENGANOSA,QUERIA MEU DINHEIRO DE VOLTA!	 ",1.0,furniture_decor,0
"lannister o produto foi entregue faltando um item, eram para serem dois grampos só foi entregue um. Espero contato para resolver o problema",1.0,garden_tools,0
